sample	cohort	sequencer
SRR24363047.rna.1	Case	Illumina_HiSeq_2500
SRR22807100.rna.1	Control	Illumina_MiSeq
SRR22807070.rna.1	Case	Illumina_MiSeq
SRR22831188.rna.1	Control	Illumina_NovaSeq_6000
SRR22831189.rna.1	Control	Illumina_NovaSeq_6000
SRR22807058.rna.1	Case	Illumina_MiSeq
SRR24415252.rna.1	Case	Illumina_HiSeq_2500
SRR24390584.rna.1	Case	Illumina_HiSeq_2500
SRR22831193.rna.1	Control	Illumina_NovaSeq_6000
SRR22807123.rna.1	Control	Illumina_MiSeq
SRR24363056.rna.1	Case	Illumina_HiSeq_2500
SRR24385737.rna.1	Case	Illumina_HiSeq_2500
SRR22831204.rna.1	Control	Illumina_NovaSeq_6000
SRR22831163.rna.1	Control	Illumina_NovaSeq_6000
SRR24385733.rna.1	Case	Illumina_HiSeq_2500
SRR22807086.rna.1	Case	Illumina_MiSeq
SRR22807039.rna.1	Case	Illumina_MiSeq
SRR24390452.rna.1	Case	Illumina_HiSeq_2500
SRR24413232.rna.1	Case	Illumina_HiSeq_2500
SRR24389997.rna.1	Case	Illumina_HiSeq_2500
SRR22831192.rna.1	Control	Illumina_NovaSeq_6000
SRR24390451.rna.1	Case	Illumina_HiSeq_2500
SRR24389996.rna.1	Case	Illumina_HiSeq_2500
SRR24424454.rna.1	Case	Illumina_HiSeq_2500
SRR22831156.rna.1	Control	Illumina_NovaSeq_6000
SRR22831164.rna.1	Control	Illumina_NovaSeq_6000
SRR22807063.rna.1	Case	Illumina_MiSeq
SRR22807071.rna.1	Case	Illumina_MiSeq
SRR24351916.rna.1	Case	Illumina_HiSeq_2500
SRR22831211.rna.1	Control	Illumina_NovaSeq_6000
SRR24363046.rna.1	Case	Illumina_HiSeq_2500
SRR22807047.rna.1	Case	Illumina_MiSeq
SRR24363111.rna.1	Case	Illumina_HiSeq_2500
SRR24363041.rna.1	Case	Illumina_HiSeq_2500
SRR22807088.rna.1	Case	Illumina_MiSeq
SRR24442880.rna.1	Case	Illumina_HiSeq_2500
SRR22807103.rna.1	Control	Illumina_MiSeq
SRR24390051.rna.1	Case	Illumina_HiSeq_2500
SRR24351912.rna.1	Case	Illumina_HiSeq_2500
SRR24390464.rna.1	Case	Illumina_HiSeq_2500
SRR24351915.rna.1	Case	Illumina_HiSeq_2500
SRR22831205.rna.1	Control	Illumina_NovaSeq_6000
SRR24415099.rna.1	Case	Illumina_HiSeq_2500
SRR24414014.rna.1	Case	Illumina_HiSeq_2500
SRR22831242.rna.1	Control	Illumina_NovaSeq_6000
SRR24414011.rna.1	Case	Illumina_HiSeq_2500
SRR24423384.rna.1	Case	Illumina_HiSeq_2500
SRR22831151.rna.1	Control	Illumina_NovaSeq_6000
SRR22831194.rna.1	Control	Illumina_NovaSeq_6000
SRR22807045.rna.1	Case	Illumina_MiSeq
SRR24414006.rna.1	Case	Illumina_HiSeq_2500
SRR24414009.rna.1	Case	Illumina_HiSeq_2500
SRR22831239.rna.1	Control	Illumina_NovaSeq_6000
SRR24351919.rna.1	Case	Illumina_HiSeq_2500
SRR24390470.rna.1	Case	Illumina_HiSeq_2500
SRR22831229.rna.1	Control	Illumina_NovaSeq_6000
SRR24363631.rna.1	Case	Illumina_HiSeq_2500
SRR22831170.rna.1	Control	Illumina_NovaSeq_6000
