sample	project	Mixnumber	frag	cov	signal
Mix91	SARS-Cov-2 study 2	5	1	99.8629	0.0547
Mix4	SARS-Cov-2 study 2	5	1	99.8562	0.0670
Mix74	SARS-Cov-2 study 2	5	1	99.8729	0.2740
Mix44	SARS-Cov-2 study 2	5	1	99.8529	0.0572
Mix86	SARS-Cov-2 study 2	5	20	31.6122	0.0735
Mix8	SARS-Cov-2 study 2	5	1	99.8495	0.1513
Mix76	SARS-Cov-2 study 2	5	1	99.8729	1.1487
Mix84	SARS-Cov-2 study 2	5	7	10.4505	0.0064
Mix46	SARS-Cov-2 study 2	5	5	99.7559	0.4687
Mix67	SARS-Cov-2 study 2	5	2	3.4913	0.0020
Mix55	SARS-Cov-2 study 2	5	1	99.8595	0.0392
Mix17	SARS-Cov-2 study 2	5	6	98.4918	0.0532
Mix37	SARS-Cov-2 study 2	5	23	94.2079	0.0433
Mix31	SARS-Cov-2 study 2	5	1	99.8495	0.3994
Mix48	SARS-Cov-2 study 2	5	4	99.0737	0.0578
Mix11	SARS-Cov-2 study 2	5	15	21.6266	0.1025
Mix61	SARS-Cov-2 study 2	5	1	99.8629	0.0959
Mix78	SARS-Cov-2 study 2	5	16	95.0841	0.0503
Mix53	SARS-Cov-2 study 2	5	2	2.2372	0.0008
Mix32	SARS-Cov-2 study 2	5	17	28.3650	0.0080
Mix12	SARS-Cov-2 study 2	5	1	99.8562	0.0411
Mix56	SARS-Cov-2 study 2	5	1	99.8595	0.1380
Mix30	SARS-Cov-2 study 2	5	1	99.8729	0.0784
Mix10	SARS-Cov-2 study 2	5	30	80.6775	0.1992
Mix89	SARS-Cov-2 study 2	5	2	2.7522	0.0025
Mix60	SARS-Cov-2 study 2	5	2	99.8729	0.0548
Mix73	SARS-Cov-2 study 2	5	1	99.8462	0.0534
Mix43	SARS-Cov-2 study 2	5	1	99.8562	0.0815
Mix45	SARS-Cov-2 study 2	5	1	99.8629	0.0807
Mix94	SARS-Cov-2 study 2	5	28	62.9000	0.0218
Mix47	SARS-Cov-2 study 2	5	8	99.5051	0.1316
Mix9	SARS-Cov-2 study 2	5	2	2.1469	0.0011
Mix77	SARS-Cov-2 study 2	5	1	99.8562	0.2266
Mix68	SARS-Cov-2 study 2	5	16	30.4351	0.0390
Mix71	SARS-Cov-2 study 2	5	28	83.4431	0.3003
Mix38	SARS-Cov-2 study 2	5	1	99.8495	0.0575
Mix41	SARS-Cov-2 study 2	5	14	20.7805	0.0170
Mix18	SARS-Cov-2 study 2	5	1	99.8696	0.0506
Mix50	SARS-Cov-2 study 2	5	18	90.9608	0.0610
Mix36	SARS-Cov-2 study 2	5	21	40.7952	0.0243
Mix16	SARS-Cov-2 study 2	5	1	99.8562	0.1154
Mix2	SARS-Cov-2 study 2	5	16	95.2212	0.0407
Mix66	SARS-Cov-2 study 2	5	2	2.8392	0.0013
Mix24	SARS-Cov-2 study 2	5	23	37.9427	0.0322
Mix99	SARS-Cov-2 study 2	5	1	99.8529	0.1773
Mix13	SARS-Cov-2 study 2	5	1	99.8094	0.1317
Mix33	SARS-Cov-2 study 2	5	16	95.0908	0.0652
Mix63	SARS-Cov-2 study 2	5	1	99.8595	0.1808
Mix51	SARS-Cov-2 study 2	5	31	66.5117	0.0216
Mix35	SARS-Cov-2 study 2	5	8	99.0235	0.1360
Mix57	SARS-Cov-2 study 2	5	23	88.6332	0.1178
Mix15	SARS-Cov-2 study 2	5	1	99.8395	0.1410
Mix65	SARS-Cov-2 study 2	5	17	28.3049	0.0139
Mix72	SARS-Cov-2 study 2	5	16	95.1978	0.0764
Mix42	SARS-Cov-2 study 2	5	2	2.2372	0.0023
Mix70	SARS-Cov-2 study 2	5	29	50.8979	0.0414
Mix40	SARS-Cov-2 study 2	5	1	99.8562	0.0629
Mix29	SARS-Cov-2 study 2	5	2	99.8495	0.0572
SRR22211892	HIV	1	46	85.8914	1.26272162598589
SRR22211911	HIV	1	0	0	0
SRR22211858	HIV	1	5	10.9473	0.0824586712930813
SRR22212048	HIV	1	0	0	0
SRR22211971	HIV	1	0	0	0
SRR22211829	HIV	1	11	84.3137	0.475764059669295
SRR22212020	HIV	1	168	97.4707	10.0046161677779
SRR22212023	HIV	1	0	0	0
SRR22212025	HIV	1	13	59.8525	0.18348543463879
SRR22211882	HIV	1	0	0	0
SRR22211926	HIV	1	0	0	0
SRR22211937	HIV	1	11	49.0107	0.210261950112995
SRR22212044	HIV	1	0	0	0
SRR22212032	HIV	1	38	85.2985	0.535421895092876
SRR22211854	HIV	1	0	0	0
SRR22211897	HIV	1	5	69.9216	0.11489293471131
SRR22212011	HIV	1	91	99.8978	1.42597885838958
SRR22211864	HIV	1	0	0	0
SRR22211948	HIV	1	0	0	0
SRR22212071	HIV	1	0	0	0
SRR22211920	HIV	1	0	0	0
SRR22211923	HIV	1	0	0	0
SRR22211925	HIV	1	0	0	0
SRR22212037	HIV	1	31	87.1537	1.41709395125379
SRR22212026	HIV	1	0	0	0
SRR22211932	HIV	1	128	97.9576	3.92312052903075
SRR22211887	HIV	1	81	92.1764	2.91110989834812
SRR22211944	HIV	1	243	100.0000	9.13582453890916
SRR22211868	HIV	1	2	7.8339	0.129328746138972
SRR22212051	HIV	1	0	0	0
SRR22211841	HIV	1	15	62.3708	0.0825499511439065
SRR22211989	HIV	1	16	83.2353	0.852899598453283
SRR22211896	HIV	1	2	9.9164	0.0442165266183929
SRR22211886	HIV	1	14	60.8467	0.225590503982067
SRR22211922	HIV	1	0	0	0
SRR22212027	HIV	1	6	37.2745	0.0512965154325007
SRR22212036	HIV	1	106	87.1502	1.54015561331626
SRR22211901	HIV	1	14	65.7617	0.617808723665688
SRR22211930	HIV	1	110	99.2171	3.81348916657709
SRR22211961	HIV	1	46	100.0000	4.38123539509906
SRR22211999	HIV	1	1	6.7067	0.0125217870964448
SRR22211935	HIV	1	520	98.6712	10.9014553304771
SRR22211933	HIV	1	0	0	0
SRR22211818	HIV	1	0	0	0
SRR22211951	HIV	1	463	100.0000	21.0031807964714
SRR22211890	HIV	1	17	61.0057	0.787174562647576
SRR22211893	HIV	1	0	0	0
SRR22211878	HIV	1	0	0	0
SRR22211839	HIV	1	0	0	0
SRR22211895	HIV	1	1027	99.9656	30.9562961587898
SRR22212022	HIV	1	25	85.3184	0.715697542861681
SRR22211936	HIV	1	0	0	0
SRR22211927	HIV	1	54	83.0650	1.7735743731628
SRR22212001	HIV	1	5	30.9600	0.120370628717417
SRR22212030	HIV	1	0	0	0
SRR22211874	HIV	1	91	100.0000	1.59296411557541
SRR22211880	HIV	1	0	0	0
SRR22212061	HIV	1	96	99.6480	7.06134322976218
SRR22212035	HIV	1	95	91.9778	3.86875982745718
SRR22211883	HIV	1	0	0	0
SRR22212033	HIV	1	0	0	0
SRR22211885	HIV	1	11	43.0381	0.156610461953973
SRR22212021	HIV	1	8	38.1326	0.319069134190152
SRR22212002	HIV	1	0	0	0
SRR22211907	HIV	1	108	98.5031	1.00577435335334
SRR22211988	HIV	1	0	0	0
SRR22212062	HIV	1	1	4.7342	0.072211710855717
SRR22211994	HIV	1	11	43.9237	0.289529427589097
SRR22211967	HIV	1	36	100.0000	2.42852320905022
SRR22211975	HIV	1	36	91.1373	1.09439546411829
SRR22211952	HIV	1	1	3.4651	0.030647028153825
SRR22211910	HIV	1	15	67.2529	0.167916731051916
SRR22211973	HIV	1	0	0	0
SRR22212057	HIV	1	2	6.6929	0.0154522974784531
SRR22211998	HIV	1	15	62.0335	0.124941891515312
SRR22211915	HIV	1	4	16.9177	0.0947837916139593
SRR22211970	HIV	1	191	99.1957	8.85689747873688
SRR22211984	HIV	1	0	0	0
SRR22211913	HIV	1	16	40.2748	0.0277791039512423
SRR22211847	HIV	1	5	99.3333	0.487698940743826
SRR22212016	HIV	1	3	14.0797	0.0114947822711697
