sample	round	prj	nCtg	nPath	cov	signal	annotatedRatio
rand.81	3	Sardi_Zika_2016	311	1	98.5194040831341	6.94067417768592	89.5988526712987
rand.82	3	Sardi_Zika_2016	340	1	4.70847894059224	0.360302034439808	86.2554823399792
rand.83	3	Sardi_Zika_2016	482	11	95.8340996873276	4.83111271823686	89.8862556933044
rand.84	3	Sardi_Zika_2016	101	1	98.5194040831341	21.3781130268199	91.187593593746
rand.85	3	Sardi_Zika_2016	204	2	8.03752069155784	0.938614201640964	91.5157954077318
rand.86	3	Sardi_Zika_2016	503	6	20.8938752988781	1.05361275094023	88.4874418255869
rand.87	3	Sardi_Zika_2016	509	10	94.0132425970204	4.54488872291428	91.1676625790015
rand.88	3	Sardi_Zika_2016	418	1	98.5286003310649	5.01012406066019	92.4305750419676
rand.89	3	Sardi_Zika_2016	469	3	11.1826374839066	0.622615908450885	90.6336783640495
rand.9	3	Sardi_Zika_2016	311	0	0	0	88.2684284738273
rand.90	3	Sardi_Zika_2016	417	12	94.8133161670039	5.22390328432018	90.104356007955
rand.91	3	Sardi_Zika_2016	294	1	98.5194040831341	7.82022176639341	92.1720331332457
rand.92	3	Sardi_Zika_2016	319	11	96.339893323524	6.99150421452359	92.492268392615
rand.93	3	Sardi_Zika_2016	196	0	0	0	90.0641259199883
rand.94	3	Sardi_Zika_2016	256	1	98.5194040831341	8.6566199345481	87.7417243148564
rand.95	3	Sardi_Zika_2016	277	1	98.5194040831341	8.17386925471525	89.9036983489958
rand.96	3	Sardi_Zika_2016	463	12	97.2779106124701	5.06310937522437	89.0730797348055
rand.97	3	Sardi_Zika_2016	291	1	98.5194040831341	7.91877947459456	88.0439581610782
rand.98	3	Sardi_Zika_2016	504	7	25.7494942063638	1.22815097484484	89.3816195572529
rand.99	3	Sardi_Zika_2016	319	1	98.5194040831341	6.73871063109758	91.1408028921384
rand.1	3	Sardi_Zika_2016_mock	312	1	98.5194040831341	7.22850106271718	90.8576498996305
rand.10	3	Sardi_Zika_2016_mock	118	1	2.97958432959353	0.782476392880431	85.8578974271597
rand.100	3	Sardi_Zika_2016_mock	226	1	98.5286003310649	10.8607284412412	92.6445670097231
rand.11	3	Sardi_Zika_2016_mock	153	1	98.5194040831341	12.7121057502907	92.727124427346
rand.12	3	Sardi_Zika_2016_mock	274	11	92.4038992091227	9.67316486161252	83.2020633719505
rand.13	3	Sardi_Zika_2016_mock	397	1	3.75206915578444	0.277449100330491	87.5175592924458
rand.14	3	Sardi_Zika_2016_mock	223	1	3.60492918889093	0.482419976125134	85.9679713102084
rand.15	3	Sardi_Zika_2016_mock	409	9	90.5186683832996	6.24559800506348	86.9291263975744
rand.16	3	Sardi_Zika_2016_mock	47	1	98.5194040831341	39.1042487954446	91.3324941557274
rand.17	3	Sardi_Zika_2016_mock	122	1	98.5286003310649	14.2380629642919	88.8262183311381
rand.18	3	Sardi_Zika_2016_mock	235	1	98.5194040831341	8.96260353049444	93.5111241809644
rand.19	3	Sardi_Zika_2016_mock	490	1	3.75206915578444	0.22364742641013	85.1655294414961
rand.2	3	Sardi_Zika_2016_mock	194	1	98.5194040831341	12.6298291736911	83.8415868303873
rand.20	3	Sardi_Zika_2016_mock	166	8	73.4504322236528	12.5785470179694	85.026121419564
rand.21	3	Sardi_Zika_2016_mock	245	1	98.5102078352032	10.5773503302953	88.8914654210974
rand.22	3	Sardi_Zika_2016_mock	168	2	7.75243700570167	1.4293950081389	84.63007242014
rand.23	3	Sardi_Zika_2016_mock	175	0	0	0	83.3862201137328
rand.24	3	Sardi_Zika_2016_mock	361	11	89.8289497884863	7.2009377142478	86.6270525337422
rand.25	3	Sardi_Zika_2016_mock	158	0	0	0	79.2068349459608
rand.26	3	Sardi_Zika_2016_mock	80	0	0	0	81.3495750318296
rand.27	3	Sardi_Zika_2016_mock	311	8	73.5148059591687	6.80317265795207	84.3776824034335
rand.28	3	Sardi_Zika_2016_mock	226	1	98.5194040831341	9.52740919924585	92.1656132349038
rand.29	3	Sardi_Zika_2016_mock	238	8	73.0457973146956	8.78514389364479	84.935310594027
rand.3	3	Sardi_Zika_2016_mock	417	4	16.4428913003495	1.17643188472547	85.8825409295792
rand.30	3	Sardi_Zika_2016_mock	248	8	64.0426705903991	7.35165264391356	88.8631883595593
rand.31	3	Sardi_Zika_2016_mock	55	1	98.5286003310649	34.7248330848512	89.3445878848064
rand.32	3	Sardi_Zika_2016_mock	319	2	7.66967077432408	0.715265866209262	85.2219131696698
rand.33	3	Sardi_Zika_2016_mock	204	2	7.75243700570167	1.17128883454677	81.4984043076663
rand.34	3	Sardi_Zika_2016_mock	190	1	98.5194040831341	10.6859645097902	92.1945499218226
rand.35	3	Sardi_Zika_2016_mock	235	1	98.5194040831341	10.7180374776145	85.8471537427163
rand.36	3	Sardi_Zika_2016_mock	412	1	3.00717307338606	0.216573502530002	84.4120243460484
rand.37	3	Sardi_Zika_2016_mock	326	10	92.1280117711974	8.05752386774014	87.5595951466587
rand.38	3	Sardi_Zika_2016_mock	262	1	98.5286003310649	9.82971852178061	87.0342483872937
