prj	cohort	asm_contig	asm_cov	signal_ratio	gatk_cov	gatk_reads	raw	clean	type
p1	COVID	1	1.3042	1.8492	0.460592842	719	61204786	1066537	SE
p1	COVID	37	90.2618	76.4574	0.975992191	8876	37702425	367728	SE
p1	COVID	5	99.3847	3.6064	0.999285864	236363	41362550	2343454	SE
p1	COVID	13	16.5803	52.0599	0.703046099	7111	56042223	674635	SE
p1	COVID	1	99.7759	63.3582	0.999173864	50777	1624907	58029	PE
p1	COVID	1	99.786	88.0944	0.998748061	39212	11346840	675706	SE
p1	COVID	0	0	0	0.24562045	636	7331914	618729	SE
p1	COVID	1	99.7291	75.25	0.998831695	76915	26377907	396276	SE
p1	COVID	8	99.7559	53.3382	0.998238187	59594	26280813	1078332	SE
p1	COVID	2	99.7525	77.6234	0.998588018	44078	22341214	532042	SE
p1	COVID	2	99.8428	1.4134	0.998593932	169925	79328711	5427032	SE
p1	COVID	1	99.6422	7.6076	0.999696765	3916687	79965924	5334052	SE
p3	COVID	4	7.6982	1.0081	0.600630054	475	9509115	4935333	SE
p3	COVID	29	93.917	99.8131	0.996393437	115109	14099169	121831	SE
p3	COVID	1	99.8997	32.8008	0.999728745	724622	41509401	4090207	SE
p3	COVID	1	1.3945	100	0.828409903	1238	27038945	112712	SE
p3	COVID	0	0	0	0.015443241	6	39640917	960017	SE
p3	COVID	0	0	0	0.002574734	1	14203140	2147216	SE
p3	COVID	3	2.6318	0.6561	0.563366013	362	22335357	970315	SE
p3	COVID	0	0	0	0.048995394	29	14478243	23019	SE
p3	COVID	0	0	0	0.001705343	1	16259784	4005789	SE
p3	COVID	1	1.0501	22.9197	0.847228231	1325	20210284	222720	SE
p3	COVID	2	99.5786	45.9638	0.998113253	11073	23796790	1388301	SE
p3	COVID	0	0	0	0.004747894	2	17834880	1471434	SE
p3	COVID	0	0	0	0.822520274	1168	21168313	51274	SE
p3	COVID	0	0	0	0	1	7736571	284641	SE
p3	COVID	18	18.0918	30.6642	0.891866663	1895	25241586	107395	SE
p3	COVID	0	0	0	0.032362568	19	26557193	94263	SE
p3	COVID	0	0	0	0.002574734	1	22445999	1728387	SE
p3	COVID	2	1.3544	8.8855	0.624033978	801	23758911	271072	SE
p3	COVID	2	99.6957	60.6029	0.999031766	30514	24130630	1963506	SE
p3	COVID	9	11.4069	73.5833	0.796600412	2275	18197965	429385	SE
p3	COVID	0	0	0	0.104341457	70	11382897	274649	SE
p3	COVID	0	0	0	0.023854069	14	20513853	87127	SE
p3	COVID	32	41.4473	4.6161	0.961969112	5095	17837866	598096	SE
p3	COVID	0	0	0	0.057438292	40	12240644	685746	SE
p3	COVID	0	0	0	0.032658786	23	27023368	103859	SE
p3	COVID	0	0	0	0.018746241	12	16410162	54675	SE
p3	COVID	0	0	0	0.53099774	629	22331978	339753	SE
p3	COVID	0	0	0	0.084383123	53	16183687	47652	SE
p3	COVID	14	13.1826	100	0.929006449	2034	15190732	71546	SE
p3	COVID	26	93.8568	99.0649	0.998252817	189641	25379301	223782	SE
p3	COVID	11	10.8551	30.476	0.892819254	1765	17575823	126080	SE
p3	COVID	0	0	0	0.005115346	3	12945258	66884	SE
p3	COVID	37	91.6497	99.0691	0.992294838	16814	8511850	36044	SE
p3	COVID	37	93.295	99.7872	0.995343862	19663	10828335	20785	SE
p3	COVID	0	0	0	0.018645993	11	11260104	882	SE
p3	COVID	3	99.3914	79.9429	0.998804381	99446	26823227	249366	SE
p3	COVID	0	0	0	0.008524437	5	14336080	60728	SE
p3	COVID	43	47.731	66.1787	0.970078958	3760	9977338	25592	SE
p3	COVID	0	0	0	0.035090648	107	29968293	4840918	SE
p3	COVID	46	86.3559	98.9034	0.991638179	8398	13174206	17052	SE
p3	COVID	2	99.7893	44.9329	0.998674204	86586	40694038	4525975	SE
p3	COVID	20	22.1617	32.0158	0.922245589	6357	26073919	731096	SE
p3	COVID	1	99.8729	98.3857	0.999406639	1583781	22892430	1715745	SE
p3	COVID	3	99.8328	48.5731	0.998822644	86354	26844147	253417	SE
p3	COVID	0	0	0	0.014003075	9	22469460	29646	SE
p3	COVID	0	0	0	0.164841728	123	26538865	164471	SE
p3	COVID	30	94.6594	95.5014	0.998066533	100420	9359927	106632	SE
p3	COVID	0	0	0	0.008524437	6	33044180	248772	SE
p3	COVID	0	0	0	0.005115346	3	15641481	67163	SE
p3	COVID	45	79.2329	99.9748	0.991516865	12238	21882178	76100	SE
p3	COVID	0	0	0	0.557144244	533	13593561	55147	SE
p3	COVID	0	0	0	0.336344227	3909	28603205	960270	SE
p3	COVID	0	0	0	0.001705343	1	19578362	83696	SE
p3	COVID	0	0	0	0.005115346	3	35310482	118665	SE
p3	COVID	0	0	0	0.133703531	89	22885742	1949	SE
p3	COVID	0	0	0	0.158394791	102	25619401	125486	SE
p3	COVID	0	0	0	0.035928944	22	31283055	579879	SE
p3	COVID	1	99.7893	91.9564	0.999610374	1587366	24905140	1802970	SE
p3	COVID	26	29.1509	29.3193	0.919063758	4481	52704300	226244	SE
p3	COVID	0	0	0	0.002574734	2	33672684	2058751	SE
p3	COVID	2	1.3477	45.434	0.846550235	1579	20327085	10865	SE
p3	COVID	2	99.8729	18.4154	0.999746891	1780017	22367615	6854421	SE
p3	COVID	33	92.9338	99.6192	0.995751666	41725	17809608	46468	SE
p3	COVID	33	94.5424	87.4685	0.996868033	137573	19204220	165595	SE
p3	COVID	25	95.8934	98.9713	0.99787624	365163	20719789	373984	SE
p3	COVID	1	99.8562	54.5202	0.99916931	65722	13182350	1183615	SE
p3	COVID	2	99.806	93.4458	0.998817545	56454	20220420	577406	SE
p3	COVID	0	0	0	0.042860004	27	17096273	331177	SE
p3	COVID	2	99.5954	52.5046	0.997848877	10472	13766907	1027726	SE
p3	COVID	34	93.6194	92.2273	0.996737564	7424	32935097	625857	SE
p3	COVID	5	99.6857	93.7055	0.998557188	17933	25928306	545273	SE
p3	COVID	0	0	0	0.522144901	440	24052946	607166	SE
p3	COVID	1	99.7659	8.2192	0.998400666	17167	35749428	1312452	SE
p3	COVID	0	0	0	0.460065681	490	22508487	1763095	SE
p3	COVID	2	99.7091	4.9272	0.999138688	261805	18806830	930089	SE
p3	COVID	23	31.7092	79.9261	0.968851938	2833	26643881	636109	SE
p3	COVID	0	0	0	0.197288158	131	21981658	622561	SE
p3	COVID	16	97.3347	99.7573	0.998900523	964677	50000001	968942	SE
p3	COVID	0	0	0	0.601597732	591	22947896	70808	SE
p3	COVID	30	87.8541	46.2468	0.985169312	4281	19237489	2163904	SE
p3	COVID	30	93.9203	99.7247	0.995801273	36721	16412374	40237	SE
p3	COVID	36	91.5025	93.8474	0.994121623	23612	10316221	53914	SE
p3	COVID	2	1.5283	100	0.741756345	1065	39144776	4474	SE
p3	COVID	1	99.7358	97.5904	0.999344879	2728492	11320856	3213314	SE
p3	COVID	0	0	0	0.02052139	9	22737062	1913992	SE
p3	COVID	1	99.8629	73.8851	0.999626899	157850	8904367	720252	SE
p3	COVID	17	17.6604	1.5178	0.930770355	2537	29537948	276403	SE
p3	COVID	32	93.9672	99.7567	0.996140318	47399	24467422	51919	SE
p3	COVID	33	92.4222	99.7849	0.996255898	48649	11109214	54367	SE
p3	COVID	37	57.2016	36.4212	0.934086054	1710	27233346	3603679	SE
p3	COVID	1	0.8628	23.8447	0.626843752	914	17008146	15623	SE
p3	COVID	15	97.0739	99.7801	0.998085622	877729	50000001	881164	SE
p3	COVID	1	99.806	82.129	0.999178112	87672	7085701	817887	SE
p3	COVID	32	94.0775	79.2826	0.996269216	53401	9629588	97784	SE
p3	COVID	2	99.8361	93.0712	0.998563943	39031	22579204	706794	SE
p3	COVID	0	0	0	0.088264727	36	12871490	1333079	SE
p3	COVID	43	78.1159	11.5831	0.989712772	6380	26006454	249649	SE
p3	COVID	13	99.2375	79.5345	0.998909019	112398	17828852	826388	SE
p3	COVID	1	99.7525	59.1086	0.998283863	11077	15098503	1390078	SE
p3	COVID	47	73.0061	22.2154	0.990856325	5746	14942988	1203434	SE
p3	COVID	23	23.5595	1.0546	0.953269418	2896	36313601	527468	SE
p3	COVID	47	78.972	86.0512	0.990385098	7311	10326315	50154	SE
p3	COVID	5	4.217	0.9478	0.547914833	395	23312571	1961871	SE
p3	COVID	38	87.0381	1.4413	0.992113827	9259	39439450	912282	SE
p3	COVID	24	36.1536	13.3	0.885337061	1341	27601522	3642404	SE
p3	COVID	24	26.5826	71.6893	0.944632602	2381	36864482	1063053	SE
p3	COVID	38	88.7804	99.8166	0.990229142	11229	18904441	12641	SE
p3	COVID	0	0	0	0.006820005	4	20664144	747233	SE
p3	COVID	0	0	0	0.032776478	14	23063192	2093848	SE
p3	COVID	2	99.9264	18.5806	0.999814886	1879973	24143962	5397265	SE
p3	COVID	0	0	0	0.077644311	33	13395106	1472374	SE
