sample	project	Mix	gatkReads	asmRef	asmFrag	asmPathogenFrag	asmCov	asmSignal	Virus	CleanSizeRNA	CleanSizeDNA
Zhang_Dengue_2021.Mix9.rand.88	Zhang_Dengue_2021	9	180644	q	1811	2	100	0.764700724393769	Dengue	3819111	0
Zhang_Dengue_2021.Mix9.rand.3	Zhang_Dengue_2021	9	189649	q	1973	1	100	0.714413857715231	Dengue	3605086	0
Zhang_Dengue_2021.Mix9.rand.11	Zhang_Dengue_2021	9	178826	q	1985	1	100	0.694959535190748	Dengue	4342517	0
Zhang_Dengue_2021.Mix9.rand.47	Zhang_Dengue_2021	9	85603	q	2210	4	100	0.617797933239164	Dengue	4353619	0
Zhang_Dengue_2021.Mix10.rand.97	Zhang_Dengue_2021	10	137012	q	1496	3	100	1.12682480326645	Dengue	4223562	0
Zhang_Dengue_2021.Mix7.rand.77	Zhang_Dengue_2021	7	163146	q	1749	1	100	0.812662203687777	Dengue	3500084	0
Zhang_Dengue_2021.Mix7.rand.63	Zhang_Dengue_2021	7	172278	q	1608	1	100	0.918336933063802	Dengue	2376658	0
Zhang_Dengue_2021.Mix2.rand.5	Zhang_Dengue_2021	2	9255	q	966	1	97.8952	1.71377571072973	Dengue	1422834	0
Zhang_Dengue_2021.Mix10.rand.52	Zhang_Dengue_2021	10	183672	q	2093	2	100	0.646776761248175	Dengue	4013814	0
Zhang_Dengue_2021.Mix2.rand.61	Zhang_Dengue_2021	2	47807	q	1219	1	98.1572	1.25925721465697	Dengue	772665	0
Zhang_Dengue_2021.Mix5.rand.5	Zhang_Dengue_2021	5	71968	q	1745	2	99.6632271129078	0.717526117573531	Dengue	2618269	0
Zhang_Dengue_2021.Mix10.rand.10	Zhang_Dengue_2021	10	116112	q	1997	5	94.9860179692917	0.594396609000712	Dengue	3586637	0
Zhang_Dengue_2021.Mix2.rand.34	Zhang_Dengue_2021	2	10720	q	989	2	97.7362089025326	1.61150759558686	Dengue	870736	0
Zhang_Dengue_2021.Mix5.rand.66	Zhang_Dengue_2021	5	59449	q	1636	2	100	0.921672803156595	Dengue	1957206	0
Zhang_Dengue_2021.Mix9.rand.58	Zhang_Dengue_2021	9	109833	q	2069	7	100	0.658550391861401	Dengue	3751931	0
Zhang_Dengue_2021.Mix3.rand.53	Zhang_Dengue_2021	3	19075	q	1356	2	98.447154107757	1.00815219994444	Dengue	1163624	0
Zhang_Dengue_2021.Mix8.rand.1	Zhang_Dengue_2021	8	130407	q	1974	1	100	0.687181995395252	Dengue	3672882	0
Zhang_Dengue_2021.Mix2.rand.40	Zhang_Dengue_2021	2	16434	q	220	1	97.9233	7.312353742447	Dengue	429758	0
