virus	length	Expect_errors	Actual_error	expected_Escape_blast	expected_Escape_bowtie
SARS_cov_2	150	1	23	0	0
SARS_cov_2	150	1	24	0	0
SARS_cov_2	150	1	25	0	0
SARS_cov_2	150	1	26	0	0
SARS_cov_2	150	1	27	0	0
SARS_cov_2	150	1	28	0	0
SARS_cov_2	150	1	29	0	0
SARS_cov_2	150	1	30	0	0
SARS_cov_2	150	2	0	6871	0
SARS_cov_2	150	2	1	191661	41
SARS_cov_2	150	2	2	2776868	2975359
SARS_cov_2	150	2	3	0	0
SARS_cov_2	150	2	4	0	0
SARS_cov_2	150	2	5	0	0
SARS_cov_2	150	2	6	0	0
SARS_cov_2	150	2	7	0	0
SARS_cov_2	150	2	8	0	0
SARS_cov_2	150	2	9	0	0
SARS_cov_2	150	2	10	0	0
SARS_cov_2	150	2	11	0	0
SARS_cov_2	150	2	12	0	0
SARS_cov_2	150	2	13	0	0
SARS_cov_2	150	2	14	0	0
SARS_cov_2	150	2	15	0	0
SARS_cov_2	150	2	16	0	0
SARS_cov_2	150	2	17	0	0
SARS_cov_2	150	2	18	0	0
SARS_cov_2	150	2	19	0	0
SARS_cov_2	150	2	20	0	0
SARS_cov_2	150	2	21	0	0
SARS_cov_2	150	2	22	0	0
SARS_cov_2	150	2	23	0	0
SARS_cov_2	150	2	24	0	0
SARS_cov_2	150	2	25	0	0
SARS_cov_2	150	2	26	0	0
SARS_cov_2	150	2	27	0	0
SARS_cov_2	150	2	28	0	0
SARS_cov_2	150	2	29	0	0
SARS_cov_2	150	2	30	0	0
SARS_cov_2	150	3	0	854	0
SARS_cov_2	150	3	1	19270	0
SARS_cov_2	150	3	2	276835	266
SARS_cov_2	150	3	3	2678440	2975128
SARS_cov_2	150	3	4	0	6
SARS_cov_2	150	3	5	0	0
SARS_cov_2	150	3	6	0	0
SARS_cov_2	150	3	7	0	0
SARS_cov_2	150	3	8	0	0
SARS_cov_2	150	3	9	0	0
SARS_cov_2	150	3	10	0	0
SARS_cov_2	150	3	11	0	0
SARS_cov_2	150	3	12	0	0
SARS_cov_2	150	3	13	0	0
SARS_cov_2	150	3	14	0	0
SARS_cov_2	150	3	15	0	0
SARS_cov_2	150	3	16	0	0
SARS_cov_2	150	3	17	0	0
SARS_cov_2	150	3	18	0	0
SARS_cov_2	150	3	19	0	0
SARS_cov_2	150	3	20	0	0
SARS_cov_2	150	3	21	0	0
SARS_cov_2	150	3	22	0	0
SARS_cov_2	150	3	23	0	0
SARS_cov_2	150	3	24	0	0
SARS_cov_2	150	3	25	0	0
SARS_cov_2	150	3	26	0	0
SARS_cov_2	150	3	27	0	0
SARS_cov_2	150	3	28	0	0
SARS_cov_2	150	3	29	0	0
SARS_cov_2	150	3	30	0	0
SARS_cov_2	150	4	0	167	0
SARS_cov_2	150	4	1	3232	0
SARS_cov_2	150	4	2	36971	5
SARS_cov_2	150	4	3	353775	920
SARS_cov_2	150	4	4	2581245	2974458
SARS_cov_2	150	4	5	0	17
SARS_cov_2	150	4	6	0	0
SARS_cov_2	150	4	7	0	0
SARS_cov_2	150	4	8	0	0
SARS_cov_2	150	4	9	0	0
SARS_cov_2	150	4	10	0	0
SARS_cov_2	150	4	11	0	0
SARS_cov_2	150	4	12	0	0
SARS_cov_2	150	4	13	0	0
SARS_cov_2	150	4	14	0	0
SARS_cov_2	150	4	15	0	0
SARS_cov_2	150	4	16	0	0
SARS_cov_2	150	4	17	0	0
SARS_cov_2	150	4	18	0	0
SARS_cov_2	150	4	19	0	0
SARS_cov_2	150	4	20	0	0
SARS_cov_2	150	4	21	0	0
SARS_cov_2	150	4	22	0	0
SARS_cov_2	150	4	23	0	0
SARS_cov_2	150	4	24	0	0
SARS_cov_2	150	4	25	0	0
SARS_cov_2	150	4	26	0	0
SARS_cov_2	150	4	27	0	0
SARS_cov_2	150	4	28	0	0
SARS_cov_2	150	4	29	0	0
SARS_cov_2	150	4	30	0	0
SARS_cov_2	150	5	0	18	0
SARS_cov_2	150	5	1	606	0
SARS_cov_2	150	5	2	7892	0
SARS_cov_2	150	5	3	58605	19
SARS_cov_2	150	5	4	422726	2093
SARS_cov_2	150	5	5	2485376	2972265
SARS_cov_2	150	5	6	0	30
SARS_cov_2	150	5	7	0	3
SARS_cov_2	150	5	8	0	0
SARS_cov_2	150	5	9	0	0
SARS_cov_2	150	5	10	0	0
SARS_cov_2	150	5	11	0	0
SARS_cov_2	150	5	12	0	0
SARS_cov_2	150	5	13	0	0
SARS_cov_2	150	5	14	0	0
SARS_cov_2	150	5	15	0	0
SARS_cov_2	150	5	16	0	0
SARS_cov_2	150	5	17	0	0
SARS_cov_2	150	5	18	0	0
SARS_cov_2	150	5	19	0	0
SARS_cov_2	150	5	20	0	0
SARS_cov_2	150	5	21	0	0
SARS_cov_2	150	5	22	0	0
SARS_cov_2	150	5	23	0	0
SARS_cov_2	150	5	24	0	0
SARS_cov_2	150	5	25	0	0
SARS_cov_2	150	5	26	0	0
SARS_cov_2	150	5	27	0	0
SARS_cov_2	150	5	28	0	0
SARS_cov_2	150	5	29	0	0
